Date,BTC,DOGE,ETH,LTC
12/2/2016,777.9439697,0.00021611,18579800,3.946439981
12/3/2016,771.1550293,0.000216776,12112100,3.924000025
12/4/2016,773.8720093,0.000216634,8450790,3.899610043
12/5/2016,758.7000122,0.000214793,17344500,3.52857995
12/6/2016,764.223999,0.000212313,50671200,3.535409927
12/7/2016,768.132019,0.000213961,22229600,3.615950108
12/8/2016,770.8099976,0.000214565,16042700,3.691099882
12/9/2016,772.7940063,0.000212465,12916300,3.691479921
12/10/2016,774.6500244,0.000214709,8108370,3.680269957
12/11/2016,769.7310181,0.000223432,5545500,3.637959957
12/12/2016,780.0869751,0.00022215,9119700,3.662309885
12/13/2016,780.5560303,0.00021553,4486190,3.650279999
12/14/2016,781.4810181,0.000217147,7337220,3.619560003
12/15/2016,778.0880127,0.000215168,13184400,3.624469995
12/16/2016,784.9069824,0.000216894,5178610,3.628180027
12/17/2016,790.8289795,0.0002187,8502620,3.69749999
12/18/2016,790.5300293,0.000218266,5890020,3.676949978
12/19/2016,792.7139893,0.000218057,5894760,3.662620068
12/20/2016,800.8759766,0.000219223,6313550,3.661060095
12/21/2016,834.2810059,0.000227005,9393550,3.653450012
12/22/2016,864.539978,0.000225239,16376700,3.711679935
12/23/2016,921.9840088,0.000236484,19613100,4.655330181
12/24/2016,898.8220215,0.000233888,7626020,4.551539898
12/25/2016,896.1829834,0.000229963,8671840,4.347219944
12/26/2016,907.6099854,0.000233036,5836810,4.355480194
12/27/2016,933.197998,0.000227228,8778610,4.469399929
12/28/2016,975.9210205,0.000223304,17453300,4.571350098
12/29/2016,973.4970093,0.000228483,27543800,4.555480003
12/30/2016,961.2379761,0.000227563,13909900,4.390520096
12/31/2016,963.742981,0.000223466,9066800,4.325290203
